Name,GP,IP (Original),IP,H,R,ER,BB,K,K/9,HR,ERA,whip,WHIP2
Cape Catfish,57,479.1,479.33,434,240,204,224,499,9.37,34,3.83,1.37,1.41
Chillicothe Paints,58,480.1,480.33,480,302,266,297,389,7.29,39,4.98,1.62,1.53
Clinton LumberKings,58,488.2,488.67,458,321,271,289,448,8.25,27,4.99,1.53,1.52
Danville Dans,56,461.2,461.67,474,329,271,282,525,10.23,20,5.28,1.64,1.70
Illinois Valley Pistol Shrimp,58,484,484.00,498,370,301,298,520,9.67,43,5.60,1.64,1.64
Thrillville Thrillbillies,55,447.1,447.33,458,332,293,236,437,8.79,39,5.89,1.55,1.61
Lafayette Aviators,57,474,474.00,547,374,319,293,439,8.34,35,6.06,1.77,1.55
Champion City Kings,58,472.1,472.33,543,383,322,311,424,8.08,43,6.14,1.81,1.78
Springfield Lucky Horseshoes,54,454.1,454.33,478,410,327,339,454,8.99,45,6.48,1.80,1.78
Johnstown Mill Rats,59,482,482.00,584,437,355,298,439,8.20,33,6.63,1.83,1.77
Alton River Dragons,55,452,452.00,518,434,347,319,472,9.40,55,6.91,1.85,1.89
Burlington Bees,57,469.1,469.33,559,433,361,355,435,8.34,39,6.92,1.95,1.78
O'Fallon Hoots,58,468,468.00,515,409,361,364,450,8.65,46,6.94,1.88,1.72
Quincy Gems,57,465.1,465.33,534,414,365,318,463,8.95,48,7.06,1.83,1.78
REX Baseball,56,455.1,455.33,494,411,361,340,319,6.31,35,7.14,1.83,1.96
Normal CornBelters,57,458,458.00,520,415,366,311,419,8.23,41,7.19,1.81,1.80
Jackson Rockabillys,57,472.2,472.67,565,483,387,364,421,8.02,38,7.37,1.97,1.86
League Totals/Averages,-,-,7964.67,8659,6497,5477,5238,7553,8.53,660,6.19,,1.74
